"ID","Name","Class","Type","Power","Power %","Attraction %","Luck","Effect","Requirement","Tradable","Givable","Limited","Link"
"650","Spellbook Charm","Charm","","","","","","","","No","No","No","link"
"651","Advanced Amplifier Assignment","Hunting Task","","","","","","","","No","No","No","link"
"652","Furoma Assignment","Hunting Task","","","","","","","","No","No","No","link"
"653","Catalog Library Assignment","Hunting Task","","","","","","","","No","No","No","link"
"654","Library Mice Assignment","Hunting Task","","","","","","","","No","No","No","link"
"655","Library Power Type Assignment","Hunting Task","","","","","","","","No","No","No","link"
"656","Mystic Amplifier Assignment","Hunting Task","","","","","","","","No","No","No","link"
"657","Mystic King Assignment","Hunting Task","","","","","","","","No","No","No","link"
"658","Dojo Sensei Assignment","Hunting Task","","","","","","","","No","No","No","link"
"659","Pagoda Assignment","Hunting Task","","","","","","","","No","No","No","link"
"660","Seasonal Garden Assignment","Hunting Task","","","","","","","","No","No","No","link"
"661","Technic Amplifier Assignment","Hunting Task","","","","","","","","No","No","No","link"
"662","Technic King Assignment","Hunting Task","","","","","","","","No","No","No","link"
"663","Metamorphic Rock","Crafting","","","","","","","","No","No","No","link"
"664","Zurreal Trap Research","Special","","","","","","","","No","No","No","link"
"665","Reaper's Perch Blueprints","Crafting","","","","","","","","No","No","No","link"
"666","Draconic Book","Crafting","","","","","","","","No","No","No","link"
"667","Ectoplasmic Essence","Crafting","","","","","","","","No","No","No","link"
"668","Luscious Lumber","Crafting","","","","","","","","No","No","No","link"
"669","Encyclopedia Gnawnia","Crafting","","","","","","","","No","No","No","link"
"670","Lich Jewel","Crafting","","","","","","","","No","No","No","link"
"671","Desert Travel Almanac","Crafting","","","","","","","","No","No","No","link"
"672","Mesh Netting","Crafting","","","","","","","","No","No","No","link"
"673","Warp Nail","Crafting","","","","","","","","No","No","No","link"
"674","Runestone","Crafting","","","","","","","","No","No","No","link"
"675","Reaper's Perch","Weapon","Shadow","3,300","10%","5%","16","Stale","Lord","No","No","No","link"
"676","Zurreal's Folly","Weapon","Tactical","2,930","20%","15%","12","Ultimately Stale","Lord","No","No","No","link"
"677","Scholar Charm","Charm","","","","","","","","No","No","No","link"
"678","Uncharged Scholar Charm","Charm","","","","","","","","No","No","No","link"
"679","Zurreal Trap Research Assignment","Hunting Task","","","","","","","","No","No","No","link"
"680","Acrostic Research Assignment","Special","","","","","","","","No","No","No","link"
"681","Acrostic Research Assignment","Hunting Task","","","","","","","","No","No","No","link"
"682","Mining Charm","Charm","","250","1%","","","","","Yes","Yes","No","link"
"683","Extremely Enraged RhinoBot Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"684","Jet-Black ACRONYM Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"685","Larry's First Move Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"686","Tournament Token","Special","","","","","","","","No","No","No","link"
"687","2011 Pumpkin Treat Basket","Special","","","","","","","","Yes","Yes","No","link"
"688","Wooden Crate of Splintered Wood","Special","","","","","","","","No","No","No","link"
"689","Jumbo Halloween Goodie Bag","Special","","","","","","","","Yes","Yes","No","link"
"690","Soulstone","Crafting","","","","","","","","No","No","No","link"
"691","Soul Catcher Parts","Crafting","","","","","","","","No","No","No","link"
"692","Friendly Knight Mask","Collectible","","","","","","","","No","No","No","link"
"693","Tiny Cauldron","Collectible","","","","","","","","No","No","No","link"
"694","Sock Ghost Plushie","Message","","","","","","","","No","No","No","link"
"695","Cobweb","Special","","","","","","","","No","No","No","link"
"696","Halloween Candy","Special","","","","","","","","No","No","No","link"
"697","Soul Harvester","Weapon","Shadow","2,200","5%","5%","12","","Lord","No","No","Yes","link"
"698","Soul Catcher","Weapon","Shadow","1,500","5%","5%","5","","Master","No","No","Yes","link"
"699","Cackle Charm","Charm","","250","1%","","","Stale","","No","No","No","link"
"700","Dreaded Charm","Charm","","","","","","","","Yes","Yes","No","link"
"701","Spooky Charm","Charm","","100","1%","1%","2","","","Yes","Yes","No","link"
"702","Costumed Ambush Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"703","Count Sentinel Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"704","Zugzwang's Night-Mare Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"705","2011 Spooky Supply Kit","Special","","","","","","","","Yes","Yes","No","link"
"706","Spooky Surprise","Special","","","","","","","","No","No","No","link"
"707","Apprentice Title","Achievement","","","","","","","","No","No","No","link"
"708","Baron/Baroness Title","Achievement","","","","","","","","No","No","No","link"
"709","Count/Countess Title","Achievement","","","","","","","","No","No","No","link"
"710","Duke/Duchess Title","Achievement","","","","","","","","No","No","No","link"
"711","Grand Duke/Duchess Title","Achievement","","","","","","","","No","No","No","link"
"712","Grandmaster Title","Achievement","","","","","","","","No","No","No","link"
"713","Hero Title","Achievement","","","","","","","","No","No","No","link"
"714","Initiate Title","Achievement","","","","","","","","No","No","No","link"
"715","Journeyman Title","Achievement","","","","","","","","No","No","No","link"
"716","Knight Title","Achievement","","","","","","","","No","No","No","link"
"717","Legendary Title","Achievement","","","","","","","","No","No","No","link"
"718","Lord/Lady Title","Achievement","","","","","","","","No","No","No","link"
"719","Master Title","Achievement","","","","","","","","No","No","No","link"
"720","Recruit Title","Achievement","","","","","","","","No","No","No","link"
"721","Bristle Woods Winter Gift","Special","","","","","","","","No","No","No","link"
"722","Burroughs Winter Gift","Special","","","","","","","","No","No","No","link"
"723","Feta Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"724","Furoma Winter Gift","Special","","","","","","","","No","No","No","link"
"725","Gnawnia Winter Gift","Special","","","","","","","","No","No","No","link"
"726","Rodentia Winter Gift","Special","","","","","","","","No","No","No","link"
"727","Sandtail Winter Gift","Special","","","","","","","","No","No","No","link"
"728","Tribal Winter Gift","Special","","","","","","","","No","No","No","link"
"729","Valour Winter Gift","Special","","","","","","","","No","No","No","link"
"730","Whisker Woods Winter Gift","Special","","","","","","","","No","No","No","link"
"731","Winter Survival Kit","Special","","","","","","","","Yes","Yes","No","link"
"732","Nutcracker Trap Blueprints","Crafting","","","","","","","","No","No","No","link"
"733","Festive Bow","Collectible","","","","","","","","No","No","No","link"
"734","Shortbread Cookie","Collectible","","","","","","","","No","No","No","link"
"735","Glass Mouse Ornament","Collectible","","","","","","","","No","No","No","link"
"736","Tournament Competitor Badge","Collectible","","","","","","","","No","No","No","link"
"737","Tournament Participant Badge","Collectible","","","","","","","","No","No","No","link"
"738","Bronze Tournament Trophy","Collectible","","","","","","","","No","No","No","link"
"739","Gold Tournament Trophy","Collectible","","","","","","","","No","No","No","link"
"740","Silver Tournament Trophy","Collectible","","","","","","","","No","No","No","link"
"741","Veteran Champion Trophy","Collectible","","","","","","","","No","No","Yes","link"
"742","Festive Toy Receipt","Collectible","","","","","","","","No","No","Yes","link"
"743","Toy Cog","Special","","","","","","","","No","No","No","link"
"744","Ice Coin","Special","","","","","","","","No","No","No","link"
"745","Doohickey","Special","","","","","","","","No","No","No","link"
"746","Fire Bulb","Special","","","","","","","","No","No","No","link"
"747","Ghostly Cloth","Special","","","","","","","","No","No","No","link"
"748","Toy Metal","Special","","","","","","","","No","No","No","link"
"749","Toy Screw","Special","","","","","","","","No","No","No","link"
"750","Toy Spring","Special","","","","","","","","No","No","No","link"
"751","Toy Wood","Special","","","","","","","","No","No","No","link"
"752","Nutcracker Nuisance Trap","Weapon","Arcane","3,000","18%","15%","16","Insanely Fresh","Knight","No","No","Yes","link"
"753","Festive Feta","Bait","","","","","","","","No","No","No","link"
"754","Champion Charm","Charm","","400","5%","","3","","","No","No","No","link"
"755","Winter Charm","Charm","","","","","4","","","Yes","Yes","No","link"
"756","Festive Box Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"757","Digby DecroBot Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"758","Winter Oasis Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"759","Toy Stockpile","Special","","","","","","","","No","No","No","link"
"760","Winter Screw Charm","Charm","","","","","2","","","No","No","No","link"
"761","Winter Spring Charm","Charm","","","","","2","","","No","No","No","link"
"762","Winter Wood Charm","Charm","","","","","2","","","No","No","No","link"
"763","Irradiated LED shard","Crafting","","","","","","","","No","No","No","link"
"764","Ronza Voucher","Special","","","","","","","","No","No","Yes","link"
"765","Festive Tournament Supply Kit","Special","","","","","","","","Yes","Yes","No","link"
"766","2012 Big Boom Trap","Weapon","Tactical","2,500","15%","20%","25","Extremely Stale","Journeyman","No","No","Yes","link"
"767","Firecracker Charm","Charm","","","","","","","","No","No","No","link"
"768","Acolyte Champion Kit","Special","","","","","","","","No","No","No","link"
"769","Balack's Cove Champion Kit","Special","","","","","","","","No","No","No","link"
"770","Pack of Champion Charms","Special","","","","","","","","No","No","No","link"
"771","Furoma Champion Kit","Special","","","","","","","","No","No","No","link"
"772","Gauntlet Champion Kit","Special","","","","","","","","No","No","No","link"
"773","Jungle Of Dread Champion Kit","Special","","","","","","","","No","No","No","link"
"774","Mousoleum Champion Kit","Special","","","","","","","","No","No","No","link"
"775","Tournament Supply Kit","Special","","","","","","","","Yes","Yes","No","link"
"776","Tribal Champion Kit","Special","","","","","","","","No","No","No","link"
"777","Whisker Woods Champion Kit","Special","","","","","","","","No","No","No","link"
"778","Silver Tournament Base","Base","","400","10%","5%","7","Very Fresh","Legendary","No","No","No","link"
"779","Golden Tournament Base","Base","","500","15%","10%","8","Extremely Fresh","Lord","No","No","No","link"
"780","Bronze Tournament Base","Base","","300","5%","3%","5","Fresh","Journeyman","No","No","No","link"
"781","Dimensional Chest Champion Trap Skin","Skin","","","","","","No Effect","","No","No","No","link"
"782","MonstroBot Champion Skin","Skin","","","","","","No Effect","","No","No","No","link"
"783","Reaper's Perch Champion Skin","Skin","","","","","","No Effect","","No","No","No","link"
"784","Sandtail Sentinel Champion Skin","Skin","","","","","","No Effect","","No","No","No","link"
"785","Sphynx Wrath Champion Skin","Skin","","","","","","No Effect","","No","No","No","link"
"786","Champion's Ring","Collectible","","","","","","","","No","No","No","link"
"787","Mouse Statuette","Collectible","","","","","","","","No","No","No","link"
"788","Dragon Festival Celebration Kit","Special","","","","","","","","Yes","Yes","No","link"
"789","Dragon Festival Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"790","Dragon Kite","Collectible","","","","","","","","No","No","No","link"
"791","Dragon Seal","Collectible","","","","","","","","No","No","Yes","link"
"792","Dragonbreath Charm","Charm","","120","5%","","1","","","No","No","No","link"
"793","Nitropop Charm","Charm","","120","4%","","1","","","No","No","No","link"
"794","Dragonbreath Potion","Potion","","","","","","","","No","No","No","link"
"795","Nitropop Potion","Potion","","","","","","","","No","No","No","link"
"796","Satchel of Gold (2,000 gold)","Bonus","","","","","","","","No","No","No","link"
"797","Dragonbreath ACRONYM Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"798","Dragon Jade Base","Base","","300","10%","","10","","Grandmaster","No","No","Yes","link"
"799","Jade Base","Base","","300","10%","","4","Extremely Fresh","Journeyman","No","No","No","link"
"800","Chrome RhinoBot","Weapon","Physical","6,000","10%","","27","Ultimately Stale","Legendary","No","No","Yes","link"
"801","Chrome Tacky Glue Trap","Weapon","Physical","70","","30%","20","Stale","Novice","No","No","Yes","link"
"802","Warpath Thrasher","Weapon","Physical","4,500","10%","5%","6","Stale","Knight","No","No","Yes","link"
"803","Chrome Charm","Charm","","","3%","","5","Fresh","","Yes","Yes","No","link"
"804","Tarnished Charm","Charm","","","","","","Uber Stale","","Yes","Yes","No","link"
"805","&lt3 Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"806","S.A.D. Pamphlet","Collectible","","","","","","","","No","No","No","link"
"807","Party Giftbox","Special","","","","","","","","Yes","Yes","No","link"
"808","2012 Birthday Gift","Special","","","","","","","","No","No","No","link"
"809","Party-in-a-Box","Special","","","","","","","","Yes","Yes","No","link"
"810","DLU Gift Box","Special","","","","","","","","No","No","No","link"
"811","Cake Polaroid","Collectible","","","","","","","","No","No","Yes","link"
"812","Confetti","Collectible","","","","","","","","No","No","No","link"
"813","Dent","Collectible","","","","","","","","No","No","Yes","link"
"814","Noisemaker","Collectible","","","","","","","","No","No","No","link"
"815","Fancy Confetti","Collectible","","","","","","","","No","No","Yes","link"
"816","Tiara","Collectible","","","","","","","","No","No","No","link"
"817","Blob of Cake Batter","Special","","","","","","","","No","No","No","link"
"818","Birthday Cake Candle","Special","","","","","","","","No","No","No","link"
"819","Spark of Candle Flame","Special","","","","","","","","No","No","No","link"
"820","Dollop of Icing","Special","","","","","","","","No","No","No","link"
"821","Carrot Birthday Cake Base","Base","","175","5%","5%","3","Fresh","Initiate","No","No","No","link"
"822","Birthday Party Piñata Bonanza","Weapon","Physical","2,500","35%","","10","Stale","Journeyman","No","No","Yes","link"
"823","Party Charm","Charm","","","3%","","3","","","No","No","No","link"
"824","Seven Leaf Clover Cap","Collectible","","","","","","","","No","No","No","link"
"825","Tournament Challenger Badge","Collectible","","","","","","","","No","No","No","link"
"826","Aether Egg","Special","","","","","","","","No","No","No","link"
"827","Assassin Egg","Special","","","","","","","","No","No","No","link"
"828","Pocketwatch Egg","Special","","","","","","","","No","No","No","link"
"829","Crown Collector Egg","Special","","","","","","","","No","No","No","link"
"830","Desert Nomad Egg","Special","","","","","","","","No","No","No","link"
"831","Diamond Egg","Special","","","","","","","","No","No","No","link"
"832","Spring Gift Basket 2012","Special","","","","","","","","Yes","Yes","No","link"
"833","Egg Hunting Kit","Special","","","","","","","","Yes","Yes","No","link"
"834","Eclipse Egg","Special","","","","","","","","No","No","No","link"
"835","Fog Egg","Special","","","","","","","","No","No","No","link"
"836","Lich Egg","Special","","","","","","","","No","No","No","link"
"837","Scavenger Egg","Special","","","","","","","","No","No","No","link"
"838","Spud Egg","Special","","","","","","","","No","No","No","link"
"839","Gauntlet Magic Egg","Special","","","","","","","","No","No","No","link"
"840","Eggscavator","Message","","","","","","","","No","No","No","link"
"841","Golden Paint","Special","","","","","","","","No","No","No","link"
"842","Green Plaid Paint","Special","","","","","","","","No","No","No","link"
"843","Blue Argyle Paint","Special","","","","","","","","No","No","No","link"
"844","Stripy Red Paint","Special","","","","","","","","No","No","No","link"
"845","Wavy Purple Paint","Special","","","","","","","","No","No","No","link"
"846","Scalloped Pink Paint","Special","","","","","","","","No","No","No","link"
"847","Gift Paint","Special","","","","","","","","No","No","No","link"
"848","Sharing Paint","Special","","","","","","","","No","No","No","link"
"849","Friendly Paint","Special","","","","","","","","No","No","No","link"
"850","Caring Paint","Special","","","","","","","","No","No","No","link"
"851","Eggstra Charm","Charm","","","","","","","","No","No","No","link"
"852","Marshmallow Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"853","Archduke/Archduchess Title","Achievement","","","","","","","","No","No","No","link"
"854","War Scrap","Special","","","","","","","","No","No","No","link"
"855","War Supplies","Special","","","","","","","","No","No","No","link"
"856","Icebreaker License","Map","","","","","","","","No","No","No","link"
"857","Shoreline Supplies","Special","","","","","","","","Yes","Yes","No","link"
"858","Slushy Crafting Kit","Special","","","","","","","","Yes","Yes","No","link"
"859","Bottled Cold Fusion","Crafting","","","","","","","","No","No","No","link"
"860","Frosty Metal","Crafting","","","","","","","","No","No","No","link"
"861","Hearthstone Base Blueprints","Crafting","","","","","","","","No","No","No","link"
"862","Heating Oil","Crafting","","","","","","","","No","No","No","link"
"863","Magnet Base Blueprints","Crafting","","","","","","","","No","No","No","link"
"864","Remote Detonator Base Blueprints","Crafting","","","","","","","","No","No","No","link"
"865","Spiked Base Blueprints","Crafting","","","","","","","","No","No","No","link"
"866","Steam Laser Mk. I Parts","Crafting","","","","","","","","No","No","No","link"
"867","Steam Nine","Crafting","","","","","","","","No","No","No","link"
"868","Wire Spool","Crafting","","","","","","","","No","No","No","link"
"869","Interlocking Hull Fragment","Special","","","","","","","","No","No","No","link"
"870","Hearthstone Base","Base","","200","","10%","2","Very Fresh","Lord","No","No","No","link"
"871","Magnet Base","Base","","250","10%","","5","Fresh","Lord","No","No","No","link"
"872","Remote Detonator Base","Base","","300","10%","10%","4","Stale","Lord","No","No","No","link"
"873","Spiked Base","Base","","300","12%","","3","Very Stale","Lord","No","No","No","link"
"874","Steam Laser Mk. I","Weapon","Hydro","4,200","8%","","14","","Lord","No","No","No","link"
"875","Softserve Charm","Charm","","100","","","","","","No","No","No","link"
"876","Sticky Charm","Charm","","150","","","","","","No","No","No","link"
"877","Wax Charm","Charm","","150","","","","","","No","No","No","link"
"878","Sticky Charm 5-Pack","Special","","","","","","","","No","No","No","link"
"879","Wax Charm 5-Pack","Special","","","","","","","","No","No","No","link"
"880","Drilling Gift Set","Special","","","","","","","","Yes","Yes","No","link"
"881","Iceberg Invasion Kit","Special","","","","","","","","Yes","Yes","No","link"
"882","Iceberg Strongbox","Special","","","","","","","","No","No","No","link"
"883","Iceberg Supply Chest","Special","","","","","","","","No","No","No","link"
"884","Iceberg Treasure Chest","Special","","","","","","","","No","No","No","link"
"885","Steam Laser Mk. II Parts","Crafting","","","","","","","","No","No","No","link"
"886","Well-sealed Canister","Crafting","","","","","","","","No","No","No","link"
"887","Diamond Drill Bits","Special","","","","","","","","No","No","No","link"
"888","Drill Charge","Special","","","","","","","","Yes","Yes","No","link"
"889","Diamond Ice Drill","Special","","","","","","","","No","No","No","link"
"890","Ice Drill Mk. I","Special","","","","","","","","No","No","No","link"
"891","Ice Drill Mk. III","Special","","","","","","","","No","No","No","link"
"892","Ice Drill Mk. II","Special","","","","","","","","No","No","No","link"
"893","Steam Laser Mk. II (Broken!)","Weapon","Hydro","","","","","Uber Fresh","Lord","No","No","No","link"
"894","Steam Laser Mk. II","Weapon","Hydro","4,800","12%","10%","18","Fresh","Lord","No","No","No","link"
"895","Steam Laser Mk. III","Weapon","Hydro","4,800","12%","10%","18","Fresh","Lord","No","No","No","link"
"896","Icewing Plushie","Message","","","","","","","","No","No","Yes","link"
"897","Cold Fusion Bomb","Special","","","","","","","","No","No","No","link"
"898","Deep Freeze Base Blueprints","Crafting","","","","","","","","No","No","No","link"
"899","Deep Freeze Base","Base","","35","","","","Uber Fresh","Lord","No","No","No","link"
"900","Plankrun's Iceberg Notes","Torn Page","","","","","","","","No","No","No","link"
"901","Deep Thought (25,000 bonus points)","Bonus","","","","","","","","No","No","No","link"
"902","Frozen Sealed Bottle","Message","","","","","","","","Yes","Yes","No","link"
"903","Miniature Torch","Collectible","","","","","","","","No","No","No","link"
"904","Athlete's Kit","Special","","","","","","","","Yes","Yes","No","link"
"905","Training Gift Basket","Special","","","","","","","","Yes","Yes","No","link"
"906","King's Medallion","Collectible","","","","","","","","No","No","Yes","link"
"907","Runny Cheese","Bait","","","","","","","","Yes","Yes","No","link"
"908","Athlete Charm","Charm","","120","1%","","3","","","No","No","No","link"
"909","Mobile Charm","Charm","","","5%","","5","Extremely Stale","","No","No","No","link"
"910","Arduous Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"911","Easy Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"912","Elaborate Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"913","Hard Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"914","Medium Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"915","Rare Arduous Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"916","Rare Easy Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"917","Rare Elaborate Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"918","Rare Hard Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"919","Rare Medium Treasure Chest (Season 1)","Special","","","","","","","","No","No","No","link"
"920","Treasure Hunting Kit","Special","","","","","","","","Yes","Yes","No","link"
"921","Relic Hunter Scroll Case","Special","","","","","","","","No","No","No","link"
"922","Ancient Amulet","Collectible","","","","","","","","Yes","No","No","link"
"923","Ancient Relic","Collectible","","","","","","","","No","No","No","link"
"924","Treasure Map","Message","","","","","","","","No","No","No","link"
"925","Treasure Map Clue","Special","","","","","","","","No","No","No","link"
"926","Rare Map Dust","Special","","","","","","","","Yes","Yes","No","link"
"927","Ancient Gauntlet","Weapon","Physical","1,050","4%","20%","4","Extremely Fresh","Novice","No","No","Yes","link"
"928","Ancient Charm","Charm","","600","5%","5%","5","Extremely Fresh","","No","No","No","link"
"929","Ancient Relic Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"930","Doobers","Collectible","","","","","","","","No","No","No","link"
"931","Mystery Pot of Gold","Special","","","","","","","","No","No","No","link"
"932","$25 Cash Prize","Special","","","","","","","","No","No","No","link"
"933","$50 Cash Prize","Special","","","","","","","","No","No","No","link"
"934","2012 Halloween Scroll Case","Special","","","","","","","","No","No","No","link"
"935","2012 Halloween Treasure Chest","Special","","","","","","","","No","No","No","link"
"936","Rare 2012 Halloween Treasure Chest","Special","","","","","","","","No","No","No","link"
"937","Halloween Theme Scrap I","Crafting","","","","","","","","No","No","No","link"
"938","Halloween Theme Scrap II","Crafting","","","","","","","","No","No","No","link"
"939","Halloween Theme Scrap III","Crafting","","","","","","","","No","No","No","link"
"940","Candy Apple","Collectible","","","","","","","","No","No","No","link"
"941","Completed Halloween Theme","Collectible","","","","","","","","No","No","No","link"
"942","Mousie Pincushion","Collectible","","","","","","","","No","No","No","link"
"943","Spooky Mask","Collectible","","","","","","","","No","No","No","link"
"944","Whisker Woods Wicked Hat","Collectible","","","","","","","","No","No","No","link"
"945","Halloween Treasure Map","Message","","","","","","","","No","No","No","link"
"946","Terrifying Spider Trap","Weapon","Shadow","2,400","5%","5%","13","","Lord","No","No","Yes","link"
"947","Candy Corn Ice Maiden Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"948","Horrific Pumpkin Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"949","Lovecraft Shelf Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"950","Springer Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"951","Steam Maw Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"952","The Thing That Ate The Bottomless Grave Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"953","Sphynx Wrath Black Cat Skin","Skin","","","","","","No Effect","","No","No","No","link"
"954","Sphynx Wrath Valkyrie Skin","Skin","","","","","","No Effect","","No","No","No","link"
"955","Witch's Brew Trap Skin","Skin","","","","","","No Effect","","Yes","Yes","No","link"
"956","2012 Pumpkin Treat Basket","Special","","","","","","","","Yes","Yes","No","link"
"957","Fan Base","Base","","175","12%","","2","Very Fresh","Novice","No","No","No","link"
"958","Cursed City Charm Pack","Special","","","","","","","","Yes","Yes","No","link"
"959","Dewthief Camembert 4-Pack","Special","","","","","","","","No","No","No","link"
"960","Duskshade Camembert 4-Pack","Special","","","","","","","","No","No","No","link"
"961","Essence Collector Kit","Special","","","","","","","","Yes","Yes","No","link"
"962","Graveblossom Camembert 4-Pack","Special","","","","","","","","No","No","No","link"
"963","Living Chest","Special","","","","","","","","No","No","No","link"
"964","Living Garden Charm Pack","Special","","","","","","","","Yes","Yes","No","link"
"965","Lost City Charm Pack","Special","","","","","","","","Yes","Yes","No","link"
"966","Lunaria Camembert 4-Pack","Special","","","","","","","","No","No","No","link"
"967","Sand Crypts Charm Pack","Special","","","","","","","","Yes","Yes","No","link"
"968","Sand Dunes Charm Pack","Special","","","","","","","","Yes","Yes","No","link"
"969","Twisted Essence Collector Kit","Special","","","","","","","","Yes","Yes","No","link"
"970","Twisted Garden Charm Pack","Special","","","","","","","","Yes","Yes","No","link"
"971","Unstable Gourd","Special","","","","","","","","No","No","No","link"
"972","A.C.R.O.N.Y.M. Parts","Crafting","","","","","","","","No","No","No","link"
"973","Arcane Crystal","Crafting","","","","","","","","No","No","No","link"
"974","Clockwork Portal Trap Blueprints","Crafting","","","","","","","","No","No","No","link"
"975","Dewthief Petal","Crafting","","","","","","","","No","No","No","link"
"976","Dreamfluff Herbs","Crafting","","","","","","","","No","No","No","link"
"977","Duskshade Petal","Crafting","","","","","","","","No","No","No","link"
"978","Aleth Essence","Crafting","","","","","","","","No","No","No","link"
"979","Ber Essence","Crafting","","","","","","","","No","No","No","link"
"980","Cynd Essence","Crafting","","","","","","","","No","No","No","link"
"981","Dol Essence","Crafting","","","","","","","","No","No","No","link"
"982","Est Essence","Crafting","","","","","","","","No","No","No","link"
"983","Fel Essence","Crafting","","","","","","","","No","No","No","link"
"984","Gur Essence","Crafting","","","","","","","","No","No","No","link"
"985","Hix Essence","Crafting","","","","","","","","No","No","No","link"
"986","Icuri Essence","Crafting","","","","","","","","No","No","No","link"
"987","Essence Prism","Crafting","","","","","","","","No","No","No","link"
"988","Fresh Twisted Garden Soil","Crafting","","","","","","","","No","No","No","link"
"989","Grand Arcanum Trap Blueprints","Crafting","","","","","","","","No","No","No","link"
"990","Graveblossom Petal","Crafting","","","","","","","","No","No","No","link"
"991","Lunaria Petal","Crafting","","","","","","","","No","No","No","link"
"992","New Base Blueprints","Crafting","","","","","","","","No","No","No","link"
"993","Oasis Water Node Trap Parts","Crafting","","","","","","","","No","No","No","link"
"994","Phantasmic Essence","Crafting","","","","","","","","No","No","No","link"
"995","Phantasmic Oasis Trap Blueprints","Crafting","","","","","","","","No","No","No","link"
"996","Plumepearl Herbs","Crafting","","","","","","","","No","No","No","link"
"997","Soiled Base Blueprints","Crafting","","","","","","","","No","No","No","link"
"998","Umbral Capacitor","Crafting","","","","","","","","No","No","No","link"
"999","Zugzwang's Leftover Rock","Collectible","","","","","","","","Yes","Yes","No","link"
"1000","Dewdrop","Special","","","","","","","","No","No","No","link"
"1001","Red Dewdrop","Special","","","","","","","","No","No","No","link"
"1002","Yellow Dewdrop","Special","","","","","","","","No","No","No","link"
"1003","Soiled Base","Base","","400","12%","5%","6","Very Fresh","Baron","No","No","No","link"
"1004","Clockwork Portal Trap","Weapon","Shadow","3,900","12%","10%","20","","Baron","No","No","No","link"
"1005","Grand Arcanum Trap","Weapon","Arcane","4,800","12%","5%","22","","Baron","No","No","No","link"
"1006","Phantasmic Oasis Trap","Weapon","Hydro","5,850","15%","20%","26","","Baron","No","No","No","link"
"1007","Dewthief Camembert","Bait","","","","","","","","No","No","No","link"
"1008","Duskshade Camembert","Bait","","","","","","","","No","No","No","link"
"1009","Graveblossom Camembert","Bait","","","","","","","","No","No","No","link"
"1010","Lunaria Camembert","Bait","","","","","","","","No","No","No","link"
"1011","Bravery Charm","Charm","","","","","","","","No","No","No","link"
"1012","Clarity Charm","Charm","","","","","","","","No","No","No","link"
"1013","Growth Charm","Charm","","","","","","","","No","No","No","link"
"1014","Grub Salt Charm","Charm","","","","","","","","No","No","No","link"
"1015","Grub Scent Charm","Charm","","","","","","","","No","No","No","link"
"1016","Grubling Chow Charm","Charm","","","","","","","","No","No","No","link"
"1017","Red Sponge Charm","Charm","","","","","","","","No","No","No","link"
"1018","Searcher Charm","Charm","","","","","","","","No","No","No","link"
"1019","Shine Charm","Charm","","","","","","","","No","No","No","link"
"1020","Sponge Charm","Charm","","","","","","","","No","No","No","link"
"1021","Wild Growth Charm","Charm","","","","","","","","No","No","No","link"
"1022","Yellow Sponge Charm","Charm","","","","","","","","No","No","No","link"
"1023","Crate of Cursed City Charms","Special","","","","","","","","No","No","No","link"
"1024","Crate of Living Garden Charms","Special","","","","","","","","No","No","No","link"
"1025","Crate of Lost City Charms","Special","","","","","","","","No","No","No","link"
"1026","Crate of Sand Crypts Charms","Special","","","","","","","","No","No","No","link"
"1027","Crate of Sand Dunes Charms","Special","","","","","","","","No","No","No","link"
"1028","Crate of Twisted Garden Charms","Special","","","","","","","","No","No","No","link"
"1029","Purple Winter Hunt Gift Box","Special","","","","","","","","No","No","No","link"
